accuracy,micro_avg_precision,micro_avg_recall,micro_avg_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,iteration,fold,data_type
0.88375,0.88375,0.88375,0.88375,0.9031288270510096,0.88375,0.8812490955862522,1,1,train
0.8616666666666667,0.8616666666666667,0.8616666666666667,0.8616666666666667,0.8803191066600358,0.8616666666666666,0.8592232636626399,1,1,val
0.87,0.87,0.87,0.87,0.888303959375652,0.8699999999999999,0.8661798777936681,1,1,test
0.9210416666666666,0.9210416666666666,0.9210416666666666,0.9210416666666666,0.9252022189564759,0.9210416666666668,0.9212602543786573,1,2,train
0.8875,0.8875,0.8875,0.8875,0.8936016881669057,0.8875,0.8879484775888106,1,2,val
0.898,0.898,0.898,0.898,0.9041005102375447,0.898,0.8983160355297357,1,2,test
0.91625,0.91625,0.91625,0.91625,0.9234532668271791,0.91625,0.9164057957384625,1,3,train
0.89,0.89,0.89,0.89,0.8996463815428634,0.89,0.8903078021522337,1,3,val
0.9,0.9,0.9,0.9,0.9094493880070196,0.9,0.9002923410317173,1,3,test
0.914375,0.914375,0.914375,0.914375,0.9207212508518767,0.9143749999999999,0.9144329966959756,1,4,train
0.885,0.885,0.885,0.885,0.8951737699914244,0.8850000000000001,0.8849311397865508,1,4,val
0.8906666666666667,0.8906666666666667,0.8906666666666667,0.8906666666666667,0.8963483462398385,0.8906666666666666,0.8909227941860269,1,4,test
0.9227083333333334,0.9227083333333334,0.9227083333333334,0.9227083333333334,0.9241207660471945,0.9227083333333332,0.9219485723227298,1,5,train
0.9033333333333333,0.9033333333333333,0.9033333333333333,0.9033333333333333,0.9050282446567277,0.9033333333333333,0.9026109269142057,1,5,val
0.8953333333333333,0.8953333333333333,0.8953333333333333,0.8953333333333333,0.8967231206487695,0.8953333333333333,0.8940157621768592,1,5,test
0.9227083333333334,0.9227083333333334,0.9227083333333334,0.9227083333333334,0.9292621958289967,0.9227083333333332,0.9230030552966186,2,1,train
0.8966666666666666,0.8966666666666666,0.8966666666666666,0.8966666666666666,0.9062040659321159,0.8966666666666667,0.8969880701026524,2,1,val
0.8906666666666667,0.8906666666666667,0.8906666666666667,0.8906666666666667,0.9018864149683559,0.8906666666666666,0.8912495926480313,2,1,test
0.9485416666666666,0.9485416666666666,0.9485416666666666,0.9485416666666666,0.9525601505645828,0.9485416666666667,0.9486073301489265,2,2,train
0.9141666666666667,0.9141666666666667,0.9141666666666667,0.9141666666666667,0.9211404375294693,0.9141666666666666,0.9141065926316945,2,2,val
0.922,0.922,0.922,0.922,0.9299099462214835,0.9219999999999999,0.9219795022909626,2,2,test
0.904375,0.904375,0.904375,0.904375,0.9099842722715417,0.9043749999999999,0.9042950644519477,2,3,train
0.8766666666666667,0.8766666666666667,0.8766666666666667,0.8766666666666667,0.8809923165485746,0.8766666666666667,0.8765336472340313,2,3,val
0.8893333333333333,0.8893333333333333,0.8893333333333333,0.8893333333333333,0.8984422777511851,0.8893333333333334,0.8898688213839542,2,3,test
0.8814583333333333,0.8814583333333333,0.8814583333333333,0.8814583333333333,0.9047278924542252,0.8814583333333333,0.8786882028388799,2,4,train
0.8558333333333333,0.8558333333333333,0.8558333333333333,0.8558333333333333,0.8776083473245222,0.8558333333333333,0.8520222642041636,2,4,val
0.8426666666666667,0.8426666666666667,0.8426666666666667,0.8426666666666667,0.8698523398072462,0.8426666666666668,0.8391830702969708,2,4,test
0.915,0.915,0.915,0.915,0.9283001369920265,0.915,0.9141667724836585,2,5,train
0.8883333333333333,0.8883333333333333,0.8883333333333333,0.8883333333333333,0.9046137455164678,0.8883333333333333,0.8875401730290224,2,5,val
0.8826666666666667,0.8826666666666667,0.8826666666666667,0.8826666666666667,0.8978111556348651,0.8826666666666666,0.8801537195525201,2,5,test
0.886875,0.886875,0.886875,0.886875,0.8947202376330697,0.8868750000000001,0.8860567099886684,3,1,train
0.8691666666666666,0.8691666666666666,0.8691666666666666,0.8691666666666666,0.8774176443409255,0.8691666666666666,0.8683152136942395,3,1,val
0.8586666666666667,0.8586666666666667,0.8586666666666667,0.8586666666666667,0.8683330605850903,0.8586666666666668,0.8578469976472218,3,1,test
0.7283333333333334,0.7283333333333334,0.7283333333333334,0.7283333333333334,0.8462785700388953,0.7283333333333334,0.7351051439626488,3,2,train
0.7191666666666666,0.7191666666666666,0.7191666666666666,0.7191666666666666,0.8438255361807311,0.7191666666666666,0.7265355447396687,3,2,val
0.6966666666666667,0.6966666666666667,0.6966666666666667,0.6966666666666667,0.8368577865647296,0.6966666666666667,0.7010595274465857,3,2,test
0.481875,0.481875,0.481875,0.481875,0.7258862401434475,0.48187499999999994,0.4227592042441432,3,3,train
0.4816666666666667,0.4816666666666667,0.4816666666666667,0.4816666666666667,0.7139482374027138,0.48166666666666663,0.4162716033135818,3,3,val
0.47333333333333333,0.47333333333333333,0.47333333333333333,0.47333333333333333,0.7173484957857501,0.47333333333333333,0.4114493952164132,3,3,test
0.905625,0.905625,0.905625,0.905625,0.9137107927430398,0.905625,0.9043459032261361,3,4,train
0.8791666666666667,0.8791666666666667,0.8791666666666667,0.8791666666666667,0.889679713099229,0.8791666666666667,0.8771227173153834,3,4,val
0.8726666666666667,0.8726666666666667,0.8726666666666667,0.8726666666666667,0.8809505928125567,0.8726666666666667,0.8712717979742306,3,4,test
0.8064583333333334,0.8064583333333334,0.8064583333333334,0.8064583333333334,0.8605746110902688,0.8064583333333333,0.8092106542422242,3,5,train
0.7908333333333334,0.7908333333333334,0.7908333333333334,0.7908333333333334,0.849856605032149,0.7908333333333333,0.7928709124180108,3,5,val
0.782,0.782,0.782,0.782,0.8437981372233432,0.782,0.7849180934620409,3,5,test
0.7989583333333333,0.7989583333333333,0.7989583333333333,0.7989583333333333,0.8570231618279138,0.7989583333333334,0.7843979252772338,4,1,train
0.7725,0.7725,0.7725,0.7725,0.8399475934860791,0.7725,0.7569339581035199,4,1,val
0.7646666666666667,0.7646666666666667,0.7646666666666667,0.7646666666666667,0.8268971845666151,0.7646666666666666,0.7476990082767856,4,1,test
0.8597916666666666,0.8597916666666666,0.8597916666666666,0.8597916666666666,0.896268742587702,0.8597916666666666,0.8548480477548853,4,2,train
0.8641666666666666,0.8641666666666666,0.8641666666666666,0.8641666666666666,0.8956012403418135,0.8641666666666667,0.8624813744162418,4,2,val
0.818,0.818,0.818,0.818,0.8631122169580058,0.818,0.810656185509346,4,2,test
0.8120833333333334,0.8120833333333334,0.8120833333333334,0.8120833333333334,0.8409506163117293,0.8120833333333334,0.7989986656082795,4,3,train
0.7858333333333334,0.7858333333333334,0.7858333333333334,0.7858333333333334,0.8187394075661926,0.7858333333333334,0.7700373441742477,4,3,val
0.7846666666666666,0.7846666666666666,0.7846666666666666,0.7846666666666666,0.8196318291095966,0.7846666666666667,0.7679708692085971,4,3,test
0.9154166666666667,0.9154166666666667,0.9154166666666667,0.9154166666666667,0.9246479139011408,0.9154166666666667,0.9153428427173816,4,4,train
0.8875,0.8875,0.8875,0.8875,0.8957823535395739,0.8875,0.887699620030487,4,4,val
0.882,0.882,0.882,0.882,0.8910745003687532,0.882,0.8820173459150595,4,4,test
0.9154166666666667,0.9154166666666667,0.9154166666666667,0.9154166666666667,0.9269544529326756,0.9154166666666667,0.9162033309627755,4,5,train
0.8925,0.8925,0.8925,0.8925,0.9045214133089334,0.8925000000000001,0.892841550891136,4,5,val
0.894,0.894,0.894,0.894,0.9072330274007537,0.8939999999999999,0.8947468210727096,4,5,test
0.8104166666666667,0.8104166666666667,0.8104166666666667,0.8104166666666667,0.8578265564179125,0.8104166666666666,0.7998897229578529,5,1,train
0.7716666666666666,0.7716666666666666,0.7716666666666666,0.7716666666666666,0.836347661727368,0.7716666666666667,0.7593259930884634,5,1,val
0.786,0.786,0.786,0.786,0.8370158490982289,0.7859999999999999,0.7715122180122769,5,1,test
0.9172916666666666,0.9172916666666666,0.9172916666666666,0.9172916666666666,0.9221597548458991,0.9172916666666666,0.916052928157557,5,2,train
0.8941666666666667,0.8941666666666667,0.8941666666666667,0.8941666666666667,0.9019306854220641,0.8941666666666667,0.8928360962975764,5,2,val
0.8786666666666667,0.8786666666666667,0.8786666666666667,0.8786666666666667,0.8866578723122263,0.8786666666666667,0.8764622224302373,5,2,test
