accuracy,micro_avg_precision,micro_avg_recall,micro_avg_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,iteration,fold,data_type
0.918125,0.918125,0.918125,0.918125,0.9223832772091042,0.9181249999999999,0.9179775294320892,16,1,train
0.8775,0.8775,0.8775,0.8775,0.884587447056939,0.8775000000000001,0.8769932512668615,16,1,val
0.8913333333333333,0.8913333333333333,0.8913333333333333,0.8913333333333333,0.8982309991614283,0.8913333333333334,0.891631671251794,16,1,test
0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8995937320766346,0.8708333333333332,0.8729806862331421,16,2,train
0.8308333333333333,0.8308333333333333,0.8308333333333333,0.8308333333333333,0.8660064621021919,0.8308333333333333,0.8318952628873182,16,2,val
0.8126666666666666,0.8126666666666666,0.8126666666666666,0.8126666666666666,0.8676057080450935,0.8126666666666666,0.8159348882504789,16,2,test
0.44125,0.44125,0.44125,0.44125,0.41202551369218937,0.44125000000000003,0.3367996928048827,16,3,train
0.44583333333333336,0.44583333333333336,0.44583333333333336,0.44583333333333336,0.5067182867360674,0.4458333333333333,0.34172255107848243,16,3,val
0.44466666666666665,0.44466666666666665,0.44466666666666665,0.44466666666666665,0.43293413613276444,0.4446666666666667,0.34413872103126486,16,3,test
0.5247916666666667,0.5247916666666667,0.5247916666666667,0.5247916666666667,0.7548494668090673,0.5247916666666667,0.5025880468338538,16,4,train
0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.7322391343526373,0.5166666666666667,0.4910300892407166,16,4,val
0.49533333333333335,0.49533333333333335,0.49533333333333335,0.49533333333333335,0.7165800876548931,0.4953333333333333,0.4615957139311474,16,4,test
0.78125,0.78125,0.78125,0.78125,0.8172525881507167,0.78125,0.7837696864274072,16,5,train
0.76,0.76,0.76,0.76,0.798784623204402,0.76,0.7617672305868266,16,5,val
0.766,0.766,0.766,0.766,0.8045367705059293,0.766,0.7687713775703985,16,5,test
0.5975,0.5975,0.5975,0.5975,0.7784321047508198,0.5974999999999999,0.5930138688634434,17,1,train
0.5725,0.5725,0.5725,0.5725,0.7565388232552006,0.5725,0.5642564099335955,17,1,val
0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.7761620425736199,0.5866666666666667,0.5858011244061181,17,1,test
0.9147916666666667,0.9147916666666667,0.9147916666666667,0.9147916666666667,0.9180672193015473,0.9147916666666667,0.9141517021400013,17,2,train
0.8841666666666667,0.8841666666666667,0.8841666666666667,0.8841666666666667,0.8891192307976781,0.8841666666666667,0.8835406150378846,17,2,val
0.872,0.872,0.872,0.872,0.8791796164982516,0.8720000000000001,0.8715426694138253,17,2,test
0.8591666666666666,0.8591666666666666,0.8591666666666666,0.8591666666666666,0.8888118285960461,0.8591666666666666,0.8598186729496355,17,3,train
0.835,0.835,0.835,0.835,0.8688239525466516,0.835,0.8363960520606172,17,3,val
0.832,0.832,0.832,0.832,0.869402472458509,0.8320000000000001,0.8328758863482879,17,3,test
0.8535416666666666,0.8535416666666666,0.8535416666666666,0.8535416666666666,0.889141988271548,0.8535416666666666,0.8588058748075816,17,4,train
0.8041666666666667,0.8041666666666667,0.8041666666666667,0.8041666666666667,0.8436276131232792,0.8041666666666668,0.8085787457108156,17,4,val
0.816,0.816,0.816,0.816,0.8524438952674538,0.8160000000000001,0.8201424299104699,17,4,test
0.4841666666666667,0.4841666666666667,0.4841666666666667,0.4841666666666667,0.6357396986385078,0.4841666666666667,0.4374939993360608,17,5,train
0.495,0.495,0.495,0.495,0.6966952678883999,0.495,0.44396613385325245,17,5,val
0.478,0.478,0.478,0.478,0.5002836453271925,0.47800000000000004,0.4389940863214215,17,5,test
0.8835416666666667,0.8835416666666667,0.8835416666666667,0.8835416666666667,0.8969133201813217,0.8835416666666666,0.8832540882374929,18,1,train
0.8225,0.8225,0.8225,0.8225,0.8413558101968588,0.8225,0.8214408123727036,18,1,val
0.8386666666666667,0.8386666666666667,0.8386666666666667,0.8386666666666667,0.8572303272073387,0.8386666666666667,0.8379698970251035,18,1,test
0.9308333333333333,0.9308333333333333,0.9308333333333333,0.9308333333333333,0.9347336350709133,0.9308333333333334,0.9310859153232599,18,2,train
0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.9018018957801038,0.8933333333333333,0.8937361020422372,18,2,val
